"","genus_species_id","lengthyear","n","intercept","slope","intercept_se","slope_se","intercept_p","slope_p"
"1","Abramis_brama_6087",10,9,-163.743720053653,0.0829202069890704,46.0239208574451,0.0232326412008138,0.00614043790420797,0.00603249364396445
"2","Abrothrix_longipilis_4887",18,17,83.3179673321234,-0.0416817906836056,13.7930492438565,0.00693463898769603,1.32391882363797e-05,1.40415421717618e-05
"3","Abrothrix_olivaceus_4600",10,9,123.726324110672,-0.0619762845849804,56.202356311336,0.0282139987415214,0.0552104311500118,0.0556436929406694
"4","Abrothrix_olivaceus_4601",10,9,80.9112618724555,-0.0404341926729985,64.9969755642837,0.0326289626828958,0.244626047685735,0.246608717571598
"5","Acanthaluteres_vittiger_11826",10,9,147.885445075049,-0.0739491202989562,49.144191081813,0.0246089782007931,0.0147345835307018,0.0148364465893971
"6","Acanthaluteres_vittiger_11832",10,9,37.7760641177664,-0.0187110533374289,55.4051693217652,0.027744166177865,0.512518217875813,0.516995083587629
"7","Acanthaluteres_vittiger_11858",10,8,-1.5817518184012,0.000999803602722195,69.3899893617796,0.0347488079580106,0.982372030936309,0.977751002395972
"8","Acanthaluteres_vittiger_11859",10,8,10.6396570419475,-0.00518704352363789,74.7582947044719,0.0374371238538468,0.890345697746706,0.893227200052933
"9","Acanthemblemaria_aspera_5698",15,7,-110.746676163343,0.0560007122507122,37.2266314138907,0.0187130780274009,0.0206627630106107,0.0201521070859453
"10","Acanthemblemaria_spinosa_5697",15,7,61.3242650561262,-0.0306290274744533,47.8320001092817,0.0240441833240288,0.240641096483561,0.243373993327668
"11","Acanthistius_sebastoides_11721",7,6,-191.69419642857,0.0959821428571423,96.1320847217536,0.0480299883735491,0.0931888193775797,0.0926340916524329
"12","Acanthiza_reguloides_8782",11,10,108.22140278024,-0.0539264656911784,35.0278418387842,0.0175007692931243,0.011452114081317,0.0116133820310033
"13","Acanthiza_uropygialis_8723",28,27,35.8491661770687,-0.0178585064587966,7.72183333247628,0.00387833508544137,7.95897839573464e-05,8.81136673335258e-05
"14","Acanthopagrus_berda_5579",15,14,83.1077731092437,-0.0415966386554622,30.85965750578,0.0155190216667285,0.0174917738912418,0.0179327341310354
"15","Acanthopagrus_berda_9351",13,12,18.2331240188297,-0.00902668759811185,35.263502275575,0.0176980828640166,0.614515559390496,0.619275802690218
"16","Acanthophis_praelongus_17698",11,9,-114.966684261182,0.0575030272922021,34.3063444531194,0.0171212380186346,0.00850759039886499,0.00840812273329249
"17","Acanthurus_achilles_17559",14,13,123.604563435803,-0.0614281663898875,24.7795549222198,0.0123526906524512,0.000248089056362572,0.000254901547429939
"18","Acanthurus_achilles_17570",14,13,13.0240331917834,-0.00626156903310135,36.2215590021677,0.0180565677917836,0.724945313377841,0.734309211161479
"19","Acanthurus_achilles_17571",14,13,75.6419256366212,-0.0375122049762627,35.43274586206,0.0176633418144436,0.0523889536932226,0.0534561752667128
"20","Acanthurus_bahianus_11533",12,9,11.0991519895632,-0.00535830770664444,62.9282273190109,0.0317047328897379,0.863902084500671,0.869528944130987
"21","Acanthurus_chirurgus_11532",12,9,-112.134398496239,0.0567937701396341,51.2692805934823,0.0258306791072488,0.0565107431119467,0.0554585194229969
"22","Acanthurus_coeruleus_11531",12,9,-165.709333333332,0.083700680272108,35.5197260404045,0.0178956801169493,0.00117641718394297,0.00115685909759426
"23","Accipiter_cooperii_13762",44,43,22.4402660141791,-0.0111424807076981,5.10604671012397,0.00256322198528297,7.13709784546589e-05,8.30268721332704e-05
